ANNOSCOLASTICO, PROVINCIA, ORDINESCUOLA, TIPOPOSTO, TIPOSUPPLENZA, FASCIAETA, DOCENTISUPPLENTIMASCHI, DOCENTISUPPLENTIFEMMINE
201516,AGRIGENTO,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,FINO A 34,0,1
201516,AGRIGENTO,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,0,2
201516,AGRIGENTO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,6
201516,AGRIGENTO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,6
201516,AGRIGENTO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,3
201516,AGRIGENTO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,0,2
201516,AGRIGENTO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,0,7
201516,AGRIGENTO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,0,10
201516,AGRIGENTO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,1,1
201516,AGRIGENTO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,7
201516,AGRIGENTO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,3
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,FINO A 34,14,0
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 35 E 44,4,2
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 45 E 54,1,0
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,FINO A 34,16,14
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,23,33
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,11,12
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,1,10
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,2
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,2
201516,AGRIGENTO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,2
201516,AGRIGENTO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,2,1
201516,AGRIGENTO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,FINO A 34,15,25
201516,AGRIGENTO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,36,60
201516,AGRIGENTO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,14,23
201516,AGRIGENTO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,2,8
201516,AGRIGENTO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,1
201516,AGRIGENTO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,1,5
201516,AGRIGENTO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,2,5
201516,ALESSANDRIA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,FINO A 34,0,3
