Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
Italy,ITA,Men,1975,24.4707842638177,23.1698041104582,25.7677523245338,0.0666511347423686,0.0378523667297287,0.104307329363886,0.00308714542991359,0.000975772337612466,0.00728425219449821,0.0133116765051014,0.00550172611856001,0.0263268113850456,0.0466863301930504,0.0257328296943156,0.0753375437693381,0.492681426289284,0.408139369286564,0.572766445292272,0.380669432370195,0.303956102111906,0.462406510464918,0.063563989312455,0.0350075751223853,0.101417153534176,0.00299751736787793,0.000904157194586083,0.00722064471490172,8.96280620356615e-05,8.8906819180611e-06,0.000333079829077472
Italy,ITA,Men,1976,24.5296494664018,23.3417114576655,25.7097462411805,0.069161847638578,0.0411733836179398,0.105022784873828,0.00333349431070143,0.00115672206301403,0.00754222381366122,0.0128240806479058,0.00560773181844513,0.0243869155334089,0.0452016373887644,0.025911308033768,0.0715247780864132,0.488216551653777,0.408973446717065,0.56292718682046,0.384595882770975,0.312748584707587,0.461281309752276,0.0658283533278765,0.0379364121780157,0.101957262893906,0.00323418955932487,0.00107372814321165,0.00744915733241308,9.93047513765658e-05,1.19130762115209e-05,0.000343968876352993
Italy,ITA,Men,1977,24.5875123641025,23.5077347440148,25.6545864311779,0.0717191718326561,0.0444880584406613,0.105902617459743,0.0035991606656809,0.00136882243765492,0.00782451376876914,0.012364069127073,0.00568460234876859,0.0228975272509813,0.04378245939012,0.025927881404661,0.0676877603945206,0.48369747107114,0.4096655828696,0.55377738154221,0.388436828679011,0.320078016239775,0.460719599162731,0.0681200111669752,0.0410993249699924,0.102238605083695,0.0034887051199942,0.00125371273035761,0.00774116952152608,0.000110455545686703,1.57562268158155e-05,0.000357467253749442
Italy,ITA,Men,1978,24.6451104417684,23.664838074775,25.6165928158909,0.0743309304516178,0.0477263515887931,0.106869430742778,0.00388636105612071,0.00157694704927283,0.00804947401474364,0.0119307435919894,0.00576281407237573,0.0213461382211388,0.0424268732324323,0.02587348879197,0.0641601688545741,0.479127230331461,0.409669876609052,0.545209891890515,0.392184222492499,0.327634447226904,0.461025574601596,0.0704445693954971,0.0441763569715199,0.103259680812365,0.00376307766155975,0.00146528945928678,0.00794757162685917,0.000123283394560963,2.0634159972722e-05,0.000372037828505392
Italy,ITA,Men,1979,24.7030654951319,23.8168132356468,25.564523287684,0.0770067566144516,0.050984028516186,0.108517458309017,0.00419772686818099,0.00180857618901684,0.00834760536398642,0.0115188907650531,0.00578157038927184,0.0202006481343657,0.04112749582255,0.0257120673267336,0.0610891312614734,0.474508377865557,0.409671092677773,0.536938201917495,0.395838479032388,0.335426563526611,0.461279831523264,0.0728090297462707,0.0469729922249035,0.104613238198246,0.00405971238265806,0.00168722791293378,0.00818479726710044,0.000138014485522928,2.70142164731399e-05,0.000397355612335734
Italy,ITA,Men,1980,24.7612254374045,23.970220352062,25.5255931005048,0.0797622019637898,0.0543119286112359,0.110410893581557,0.00453482169956833,0.00205060611404337,0.00862668233774301,0.0111283581735711,0.00580698580622741,0.0190459705498422,0.0398808915543451,0.025509757632515,0.0583494674324886,0.469834997584199,0.409296699021392,0.528761702345076,0.399393550824095,0.342172062433049,0.460905022685862,0.0752273802642214,0.0499371385348767,0.106014401609347,0.00437986219186356,0.00190761776205256,0.00844353892098515,0.000154959507704766,3.45470500990396e-05,0.000428557788380048
Italy,ITA,Men,1981,24.8189306551773,24.1058987440926,25.5063168554028,0.0825575586103829,0.0578135669062688,0.112211750590055,0.00489496900644716,0.0023325991353468,0.0090088646551034,0.0107598656589375,0.00580646494585394,0.0180009737766898,0.0386951418390113,0.0251885672040132,0.0558528253474512,0.465151172254928,0.407770439162779,0.521154462352598,0.40283626173674,0.348354602589751,0.46028880519978,0.0776625896039357,0.0529973154333971,0.107608787230108,0.0047207660534772,0.00216971918198233,0.00882704560602496,0.000174202952969959,4.32347722173575e-05,0.000466032685936771
Italy,ITA,Men,1982,24.8762875401992,24.2462993055357,25.4907740430597,0.0853879714654547,0.0609965649031842,0.114475095382459,0.00527912223383244,0.00265464161209246,0.0093936717024291,0.0104140119943493,0.00576176108673351,0.0170114916707489,0.0375644100910285,0.024902070709908,0.0535388832141298,0.460493932431925,0.406299907025375,0.514364508342647,0.406139674117242,0.353841744498113,0.460099282520209,0.0801088492316223,0.0559140113749256,0.109258529813065,0.00508304024236644,0.00245291665291574,0.00919852487705409,0.000196081991465999,5.40212675667295e-05,0.000502934680091488
Italy,ITA,Men,1983,24.9332396514021,24.3736944636789,25.4889788917514,0.0882682486349292,0.0643878909470554,0.116734907142686,0.00568952595397762,0.00293929872087443,0.00991852066512608,0.0100854101823227,0.0057375412086395,0.0162024608890744,0.0364860515927736,0.0245324511351296,0.0513811213300889,0.455837817094201,0.403604025244123,0.507312797624802,0.409322472595773,0.359568051875267,0.460646109889313,0.0825787226809515,0.0587193753063019,0.110892114958587,0.00546845364153971,0.0027429487425495,0.00960472393772296,0.000221072312437913,6.54380405379782e-05,0.0005404148080949
Italy,ITA,Men,1984,24.9900171736626,24.4892582513289,25.4864524391816,0.0911934882594641,0.06780093746901,0.11892082459432,0.00612845823687543,0.0032662379142966,0.0103211247067635,0.00977438657761012,0.00570131236959915,0.0154058298326549,0.0354578092949845,0.0242667953985359,0.0492349871190719,0.451182638502961,0.401739767820188,0.500285539547316,0.41239167746498,0.36485027922509,0.461322719573104,0.0850650300225886,0.0615195936236674,0.112406829074414,0.00587888854994784,0.0030501579959008,0.0100586787128993,0.000249569686927592,7.82848385885415e-05,0.000584131548515607
