ANNOSCOLASTICO,PROVINCIA,ORDINESCUOLA,TIPOPOSTO,TIPOSUPPLENZA,FASCIAETA,DOCENTISUPPLENTIMASCHI,DOCENTISUPPLENTIFEMMINE
201718,MASSA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,FINO A 34,7,11
201718,LIVORNO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,1,10
201718,OLBIA-TEMPIO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,7,3
201718,VICENZA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,1,40
201718,VIBO VALENTIA,SCUOLA INFANZIA,SOSTEGNO,ANNUALE,OLTRE 54,0,1
201718,OGLIASTRA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,3
201718,RIETI,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 45 E 54,2,0
201718,VERBANO-CUSIO-OSSOLA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,2,26
201718,SONDRIO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,5,11
201718,RIMINI,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,10
201718,BRINDISI,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,OLTRE 54,0,1
201718,PALERMO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,2,2
201718,MONZA E BRIANZA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 35 E 44,21,70
201718,ROVIGO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,1,16
201718,MASSA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,4,43
201718,SASSARI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,10,40
201718,SIENA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,3
