"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","1","maschi","2016","2016",137,,
"IT","Italia","18_BMI_NORMO","normopeso","THV","valori in migliaia","1","maschi","2016","2016",10598,,
"IT","Italia","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","2016","2016",10784,,
"IT","Italia","18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","2016","2016",2690,,
"IT","Italia","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","2016","2016",1426,,
"IT","Italia","18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","2016","2016",15052,,
"IT","Italia","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","2016","2016",7098,,
"IT","Italia","18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","2016","2016",2548,,
"IT","Italia","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",1563,,
"IT","Italia","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",25650,,
"IT","Italia","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",17882,,
"IT","Italia","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",5238,,
"IT","Italia","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","2016","2016",0.6,,
"IT","Italia","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","2016","2016",43.8,,
"IT","Italia","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","2016","2016",44.5,,
"IT","Italia","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","1","maschi","2016","2016",11.1,,
"IT","Italia","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","2","femmine","2016","2016",5.5,,
"IT","Italia","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","2","femmine","2016","2016",57.6,,
"IT","Italia","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","2","femmine","2016","2016",27.2,,
"IT","Italia","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","2","femmine","2016","2016",9.8,,
"IT","Italia","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.1,,
"IT","Italia","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",51,,
"IT","Italia","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",35.5,,
"IT","Italia","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",10.4,,
"ITCD","Nord","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",868,,
"ITCD","Nord","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",12126,,
"ITCD","Nord","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",7764,,
"ITCD","Nord","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",2316,,
"ITCD","Nord","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.8,,
"ITCD","Nord","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",52.6,,
"ITCD","Nord","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",33.6,,
"ITCD","Nord","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",10,,
"ITC","Nord-ovest","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",530,,
"ITC","Nord-ovest","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",7162,,
"ITC","Nord-ovest","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",4413,,
"ITC","Nord-ovest","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",1307,,
"ITC","Nord-ovest","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.9,,
"ITC","Nord-ovest","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",53.4,,
"ITC","Nord-ovest","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",32.9,,
"ITC","Nord-ovest","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",9.7,,
"ITC1","Piemonte","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",148,,
"ITC1","Piemonte","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",2034,,
"ITC1","Piemonte","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",1174,,
"ITC1","Piemonte","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",334,,
"ITC1","Piemonte","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",4,,
"ITC1","Piemonte","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",55.1,,
"ITC1","Piemonte","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",31.8,,
"ITC1","Piemonte","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",9.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",56,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",34,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",12,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",4.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",52.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",31.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",11.7,,
"ITC3","Liguria","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",56,,
